model,url,price,Milage,fuel,Type,max_price
Mahindra XUV300 2024,https://www.cardekho.com/mahindra/xuv300-2024,Rs9 Lakh* ,None,None,None,900000.0
Mahindra XUV900,https://www.cardekho.com/mahindra/xuv900,Rs25 Lakh* ,None,None,None,2500000.0
Mahindra XUV500 2024,https://www.cardekho.com/mahindra/xuv500-2022,Rs12 Lakh* ,None,None,None,1200000.0
Kia Seltos,https://www.cardekho.com/kia/seltos,Rs.10.89 - 19.65 Lakh* ,20.8 kmplManual,Petrol,Manual/Automatic,1964999.9999999998
Kia Sonet,https://www.cardekho.com/kia/sonet,Rs.7.79 - 14.89 Lakh* ,18.4 kmplManual,Petrol,Manual/Automatic,1489000.0
Kia EV6,https://www.cardekho.com/kia/ev6,Rs.60.95 - 65.95 Lakh* ,None,None,None,6595000.0
Kia Carens,https://www.cardekho.com/kia/carens,Rs.10.45 - 18.95 Lakh* ,16.8 kmplManual,Petrol,Manual/Automatic,1895000.0
Kia Sportage,https://www.cardekho.com/kia/sportage,Rs25 Lakh* ,None,None,None,2500000.0
Kia Seltos 2023,https://www.cardekho.com/kia/seltos-2023,Rs20.54 Lakh* ,None,None,None,2054000.0
Kia Sonet 2024,https://www.cardekho.com/kia/sonet-2024,Rs8 Lakh* ,None,None,None,800000.0
Kia Carnival,https://www.cardekho.com/kia/carnival,Rs40 Lakh* ,None,None,None,4000000.0
Kia EV9,https://www.cardekho.com/kia/ev9,Rs80 Lakh* ,None,None,None,8000000.0
Skoda Kushaq,https://www.cardekho.com/skoda/kushaq,Rs.11.59 - 19.69 Lakh* ,18.09 to 19.76 kmp,Petrol,Manual/Automatic,1969000.0000000002
Skoda Slavia,https://www.cardekho.com/carmodels/Skoda/Skoda_Slavia,Rs.11.39 - 18.68 Lakh* ,18.07 to 19.47 kmp,Petrol,Manual/Automatic,1868000.0
Skoda Superb,https://www.cardekho.com/skoda/superb,Rs.34.19 - 37.29 Lakh* ,15.1 kmplAutomatic,Petrol,None,3729000.0
Skoda Kodiaq,https://www.cardekho.com/skoda/kodiaq,Rs.37.99 - 41.39 Lakh* ,12.78 kmplAutomatic,Petrol,None,4139000.0
Skoda Enyaq iV,https://www.cardekho.com/skoda/enyaq-iv,Rs60 Lakh* ,None,None,None,6000000.0
Skoda Octavia RS iV,https://www.cardekho.com/skoda/octavia-rs-iv,Rs40 Lakh* ,None,None,None,4000000.0
Skoda Kodiaq 2024,https://www.cardekho.com/skoda/kodiaq-2024,Rs40 Lakh* ,None,None,None,4000000.0
Skoda Superb 2024,https://www.cardekho.com/skoda/superb-2024,Rs36 Lakh* ,None,None,None,3600000.0
Renault KWID,https://www.cardekho.com/carmodels/Renault/Renault_KWID,Rs.4.70 - 6.33 Lakh* ,21.46 to 22.3 kmp,Petrol,Manual/Automatic,633000.0
Renault Triber,https://www.cardekho.com/renault/triber,Rs.6.33 - 8.97 Lakh* ,18.2 to 20.0 kmp,Petrol,Manual/Automatic,897000.0000000001
Renault Kiger,https://www.cardekho.com/renault/kiger,Rs.6.50 - 11.23 Lakh* ,18.24 to 20.5 kmp,Petrol,Manual/Automatic,1123000.0
Renault Arkana,https://www.cardekho.com/renault/arkana,Rs20 Lakh* ,None,None,None,2000000.0
Renault Duster 2025,https://www.cardekho.com/renault/duster-2025,Rs10 Lakh* ,None,None,None,1000000.0
Volkswagen Virtus,https://www.cardekho.com/volkswagen/virtus,Rs.11.48 - 18.77 Lakh* ,18.12 to 19.4 kmp,Petrol,Manual/Automatic,1877000.0
Volkswagen Taigun,https://www.cardekho.com/volkswagen/taigun,Rs.11.62 - 19.46 Lakh* ,17.88 to 20.08 kmp,Petrol,Manual/Automatic,1946000.0
Volkswagen Tiguan,https://www.cardekho.com/volkswagen/tiguan,Rs.34.70 Lakh* ,12.65 kmplAutomatic,Petrol,None,3470000.0000000005
Volkswagen Polo 2023,https://www.cardekho.com/volkswagen/polo-2022,Rs8 Lakh* ,None,None,None,800000.0
Volkswagen ID.7,https://www.cardekho.com/volkswagen/id.7,Rs70 Lakh* ,None,None,None,7000000.0
Volkswagen Tiguan 2025,https://www.cardekho.com/volkswagen/tiguan-2025,Rs37 Lakh* ,None,None,None,3700000.0
Volkswagen ID.4,https://www.cardekho.com/volkswagen/id.4,Rs45 Lakh* ,None,None,None,4500000.0
MG Hector,https://www.cardekho.com/mg/hector,Rs.15 - 22.12 Lakh* ,15.58 kmplManual,Petrol,Manual/Automatic,2212000.0
MG Comet EV,https://www.cardekho.com/mg/comet-ev,Rs.7.98 - 9.98 Lakh* ,None,None,None,998000.0
MG Astor,https://www.cardekho.com/mg/astor,Rs.10.82 - 18.69 Lakh* ,15.43 kmplManual,Petrol,Manual/Automatic,1869000.0000000002
MG Gloster,https://www.cardekho.com/mg/gloster,Rs.38.08 - 43.08 Lakh* ,12.04 to 13.92 kmp,None,None,4308000.0
MG Hector Plus,https://www.cardekho.com/mg/hector-plus,Rs.18 - 22.97 Lakh* ,12.34 to 15.58 kmp,Petrol,Manual/Automatic,2297000.0
MG ZS EV,https://www.cardekho.com/mg/zs-ev,Rs.23.38 - 27.40 Lakh* ,None,None,None,2740000.0
MG RC-6,https://www.cardekho.com/mg/rc-6,Rs18 Lakh* ,None,None,None,1800000.0
MG 3,https://www.cardekho.com/mg/3,Rs6 Lakh* ,None,None,None,600000.0
MG Baojun 510,https://www.cardekho.com/mg/baojun-510,Rs11 Lakh* ,None,None,None,1100000.0
MG 5 EV,https://www.cardekho.com/mg/5-ev,Rs27 Lakh* ,None,None,None,2700000.0
MG eHS,https://www.cardekho.com/mg/ehs,Rs30 Lakh* ,None,None,None,3000000.0
Honda City,https://www.cardekho.com/honda/city,Rs.11.57 - 16.05 Lakh* ,17.8 to 18.4 kmp,Petrol,Manual/Automatic,1605000.0
Honda Amaze,https://www.cardekho.com/honda/amaze,Rs.7.05 - 9.66 Lakh* ,18.3 to 18.6 kmp,Petrol,Manual/Automatic,966000.0
Honda City Hybrid,https://www.cardekho.com/honda/city-hybrid,Rs.18.89 - 20.39 Lakh* ,27.13 kmplAutomatic,Petrol,None,2039000.0
Honda WR-V,https://www.cardekho.com/honda/wr-v,Rs8 Lakh* ,None,None,None,800000.0
Honda Elevate,https://www.cardekho.com/honda/elevate,Rs12 Lakh* ,None,None,None,1200000.0
Toyota Innova Crysta,https://www.cardekho.com/toyota/innova-crysta,Rs.19.99 - 25.68 Lakh* ,None,None,Manual,2568000.0
Toyota Fortuner,https://www.cardekho.com/carmodels/Toyota/Toyota_Fortuner,Rs.32.99 - 50.74 Lakh* ,10.0 kmplManual,Petrol,Manual/Automatic,5074000.0
Toyota Land Cruiser 300,https://www.cardekho.com/toyota/land-cruiser-300,Rs.2.10 Cr* ,None,None,None,21000000.0
Toyota Urban Cruiser Hyryder,https://www.cardekho.com/toyota/hyryder,Rs.10.86 - 19.99 Lakh* ,19.39 to 27.97 kmp,Petrol/CNG,Manual/Automatic,1998999.9999999998
Toyota Hilux,https://www.cardekho.com/toyota/hilux,Rs.30.40 - 37.90 Lakh* ,None,None,Manual/Automatic,3790000.0
Toyota Vellfire,https://www.cardekho.com/toyota/vellfire,Rs.96.55 Lakh* ,16.35 kmplAutomatic,Petrol,None,9655000.0
Toyota Camry,https://www.cardekho.com/toyota/camry,Rs.46.17 Lakh* ,None,Petrol,None,4617000.0
Toyota Fortuner Legender,https://www.cardekho.com/toyota/fortuner-legender,Rs.43.22 - 46.94 Lakh* ,None,None,None,4694000.0
Toyota Glanza,https://www.cardekho.com/toyota/glanza,Rs.6.81 - 10 Lakh* ,22.35 kmpl to 30.61 km/kg,Petrol/CNG,Manual/Automatic,1000000.0
Toyota Innova Hycross,https://www.cardekho.com/toyota/innova-hycross,Rs.18.82 - 30.26 Lakh* ,16.13 to 23.24 kmp,Petrol,None,3026000.0
Toyota Belta,https://www.cardekho.com/toyota/belta,Rs10 Lakh* ,None,None,None,1000000.0
Toyota Innova Crysta 2.4 G 8 STR,https://www.cardekho.com/overview/Toyota_Innova_Crysta/Toyota_Innova_Crysta_2.4_G_8_STR.htm,Rs20.50 Lakh* ,None,None,None,2050000.0
Toyota Innova Crysta 2.4 G 7 STR,https://www.cardekho.com/overview/Toyota_Innova_Crysta/Toyota_Innova_Crysta_2.4_G_7_STR.htm,Rs20 Lakh* ,None,None,None,2000000.0
Toyota Rumion,https://www.cardekho.com/carmodels/Toyota/Toyota_Rumion,Rs8.77 Lakh* ,None,None,None,877000.0
Toyota bZ4X,https://www.cardekho.com/toyota/bz4x,Rs70 Lakh* ,None,None,None,7000000.0
Mercedes-Benz GLA,https://www.cardekho.com/carmodels/Mercedes-Benz/Mercedes-Benz_GLA,Rs.48.50 - 52.70 Lakh* ,None,Petrol,None,5270000.0
Mercedes-Benz S-Class,https://www.cardekho.com/mercedes-benz/s-class,Rs.1.71 - 2.17 Cr* ,13.38 kmplAutomatic,Petrol,None,21700000.0
Mercedes-Benz E-Class,https://www.cardekho.com/mercedes-benz/e-class,Rs.75 - 88 Lakh* ,16.1 kmplAutomatic,Petrol,None,8800000.0
Mercedes-Benz GLE,https://www.cardekho.com/mercedes-benz/gle,Rs.90 Lakh - 1.08 Cr* ,9.7 kmplAutomatic,Petrol,None,10800000.0
Mercedes-Benz GLS,https://www.cardekho.com/mercedes-benz/gls,Rs.1.21 - 2.92 Cr* ,None,Petrol,None,29200000.0
Mercedes-Benz C-Class,https://www.cardekho.com/carmodels/Mercedes-Benz/Mercedes-Benz_C-Class,Rs.60 - 66 Lakh* ,23.0 kmplAutomatic,Petrol,None,6600000.0
Mercedes-Benz AMG G 63,https://www.cardekho.com/mercedes-benz/amg-g-63,Rs.3.30 Cr* ,None,Petrol,None,33000000.0
Mercedes-Benz EQS,https://www.cardekho.com/mercedes-benz/eqs,Rs.1.59 - 2.45 Cr* ,None,None,None,24500000.0
Mercedes-Benz Maybach S-Class,https://www.cardekho.com/mercedes-benz/maybach-s-class,Rs.2.69 - 3.40 Cr* ,None,Petrol,None,34000000.0
Mercedes-Benz AMG GLE 63 S,https://www.cardekho.com/mercedes-benz/amg-gle-63-s,Rs.2.23 Cr* ,8.26 kmplAutomatic,Petrol,None,22300000.0
Mercedes-Benz AMG E 53,https://www.cardekho.com/mercedes-benz/amg-e-53,Rs.1.06 Cr* ,None,Petrol,Manual,10600000.0
Mercedes-Benz AMG SL,https://www.cardekho.com/mercedes-benz/amg-sl,Rs.2.35 Cr* ,None,Petrol,None,23500000.0
Mercedes-Benz GLB,https://www.cardekho.com/mercedes-benz/glb,Rs.63.80 - 69.80 Lakh* ,None,Petrol,None,6980000.0
